Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ManageOperation,Firefox 62.0,,2018-10-28 19:07:54,2018-10-28 19:08:43,49.094s,INCOMPLETE
,,,,,,
Test Cases/Common/NavigateToUrl,Firefox 62.0,,2018-10-28 19:07:55,2018-10-28 19:08:13,18.311s,PASSED
openBrowser,Firefox 62.0,,2018-10-28 19:07:55,2018-10-28 19:08:04,8.255s,PASSED
openBrowser,Firefox 62.0,,2018-10-28 19:08:04,2018-10-28 19:08:11,7.112s,PASSED
navigateToUrl,Firefox 62.0,,2018-10-28 19:08:11,2018-10-28 19:08:13,2.439s,PASSED
,,,,,,
Test Cases/Common/Login,Firefox 62.0,,2018-10-28 19:08:13,2018-10-28 19:08:15,1.526s,PASSED
phpTravels.Common.Login,Firefox 62.0,,2018-10-28 19:08:14,2018-10-28 19:08:15,1.150s,PASSED
,,,,,,
Test Cases/User/AddAdmin,Firefox 62.0,,2018-10-28 19:08:15,2018-10-28 19:08:40,25.221s,FAILED
phpTravels.Admin.NavigateToAdminPage,Firefox 62.0,,2018-10-28 19:08:15,2018-10-28 19:08:22,7.301s,PASSED
phpTravels.Admin.SetAdminDetails,Firefox 62.0,,2018-10-28 19:08:22,2018-10-28 19:08:28,5.201s,PASSED
phpTravels.Admin.ManageAccessDetails,Firefox 62.0,,2018-10-28 19:08:28,2018-10-28 19:08:32,4.411s,PASSED
phpTravels.Admin.SaveDetails,Firefox 62.0,,2018-10-28 19:08:32,2018-10-28 19:08:40,8.074s,FAILED
,,,,,,
Test Cases/Common/LogOut,Firefox 62.0,,2018-10-28 19:08:40,2018-10-28 19:08:41,0.514s,FAILED
click,Firefox 62.0,,2018-10-28 19:08:40,2018-10-28 19:08:41,0.191s,FAILED
,,,,,,
Test Cases/Common/LoginFromDatabase,Firefox 62.0,,2018-10-28 19:08:41,2018-10-28 19:08:41,0.506s,FAILED
Statement - dbdata = com.kms.katalon.core.testdata.TestDataFactory.findTestData(userDetail),Firefox 62.0,,2018-10-28 19:08:41,2018-10-28 19:08:41,0.045s,PASSED
"Statement - userName = dbdata.getValue(Email.ordinal(), userIndex)",Firefox 62.0,,2018-10-28 19:08:41,2018-10-28 19:08:41,0.001s,PASSED
"Statement - password = dbdata.getValue(Password.ordinal(), userIndex)",Firefox 62.0,,2018-10-28 19:08:41,2018-10-28 19:08:41,0.000s,PASSED
phpTravels.Common.Login,Firefox 62.0,,2018-10-28 19:08:41,2018-10-28 19:08:41,0.040s,FAILED
,,,,,,
Test Cases/Tour/BookTour,Firefox 62.0,,2018-10-28 19:08:41,2018-10-28 19:08:41,0.306s,FAILED
phpTravels.Tour.NavigateToTourPage,Firefox 62.0,,2018-10-28 19:08:41,2018-10-28 19:08:41,0.046s,FAILED
,,,,,,
Test Cases/User/AddSupplier,Firefox 62.0,,2018-10-28 19:08:41,2018-10-28 19:08:43,1.394s,FAILED
click,Firefox 62.0,,2018-10-28 19:08:42,2018-10-28 19:08:43,0.460s,FAILED
,,,,,,
Test Cases/Common/LogOutNewAdmin,Firefox 62.0,,2018-10-28 19:08:43,2018-10-28 19:08:43,0.492s,FAILED
click,Firefox 62.0,,2018-10-28 19:08:43,2018-10-28 19:08:43,0.261s,FAILED
