Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Statement - dbdata = com.kms.katalon.core.testdata.TestDataFactory.findTestData(userDetail),Chrome 70.0.3538.77,,2018-10-31 22:37:50,2018-10-31 22:37:50,0.060s,PASSED
"Statement - userName = dbdata.getValue(Email.ordinal(), userIndex)",Chrome 70.0.3538.77,,2018-10-31 22:37:50,2018-10-31 22:37:50,0.001s,PASSED
"Statement - password = dbdata.getValue(Password.ordinal(), userIndex)",Chrome 70.0.3538.77,,2018-10-31 22:37:50,2018-10-31 22:37:50,0.000s,PASSED
phpTravels.Common.Login,Chrome 70.0.3538.77,,2018-10-31 22:37:50,2018-10-31 22:37:52,1.559s,PASSED
,,,,,,
Test Cases/Tour/BookTour,Chrome 70.0.3538.77,,2018-10-31 22:37:52,2018-10-31 22:38:27,34.996s,PASSED
phpTravels.Tour.NavigateToTourPage,Chrome 70.0.3538.77,,2018-10-31 22:37:52,2018-10-31 22:38:00,7.976s,PASSED
phpTravels.Tour.SetTourDetails,Chrome 70.0.3538.77,,2018-10-31 22:38:00,2018-10-31 22:38:11,10.409s,PASSED
phpTravels.Tour.SetTourInclusions,Chrome 70.0.3538.77,,2018-10-31 22:38:11,2018-10-31 22:38:19,8.608s,PASSED
phpTravels.Tour.SetTourExclusions,Chrome 70.0.3538.77,,2018-10-31 22:38:19,2018-10-31 22:38:22,2.554s,PASSED
phpTravels.Tour.SaveTour,Chrome 70.0.3538.77,,2018-10-31 22:38:22,2018-10-31 22:38:27,5.191s,PASSED
,,,,,,
Test Cases/User/AddSupplier,Chrome 70.0.3538.77,,2018-10-31 22:38:27,2018-10-31 22:38:47,20.383s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 22:38:29,2018-10-31 22:38:30,0.615s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 22:38:30,2018-10-31 22:38:31,1.809s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 22:38:31,2018-10-31 22:38:33,1.991s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-10-31 22:38:33,2018-10-31 22:38:33,0.112s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 22:38:33,2018-10-31 22:38:34,0.442s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 22:38:34,2018-10-31 22:38:34,0.371s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 22:38:34,2018-10-31 22:38:35,1.096s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 22:38:35,2018-10-31 22:38:36,0.504s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 22:38:36,2018-10-31 22:38:36,0.429s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 22:38:36,2018-10-31 22:38:37,0.324s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 22:38:37,2018-10-31 22:38:37,0.609s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 22:38:37,2018-10-31 22:38:37,0.195s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 22:38:37,2018-10-31 22:38:38,0.638s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 22:38:38,2018-10-31 22:38:39,0.495s,PASSED
selectOptionByValue,Chrome 70.0.3538.77,,2018-10-31 22:38:39,2018-10-31 22:38:39,0.423s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 22:38:39,2018-10-31 22:38:39,0.492s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 22:38:39,2018-10-31 22:38:40,0.236s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 22:38:40,2018-10-31 22:38:40,0.176s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 22:38:40,2018-10-31 22:38:40,0.220s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 22:38:40,2018-10-31 22:38:40,0.186s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 22:38:40,2018-10-31 22:38:40,0.214s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 22:38:40,2018-10-31 22:38:41,0.164s,PASSED
"Statement - For ([i = 1, i <= 5, (i++)])",Chrome 70.0.3538.77,,2018-10-31 22:38:41,2018-10-31 22:38:45,3.873s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 22:38:45,2018-10-31 22:38:47,2.697s,PASSED
waitForPageLoad,Chrome 70.0.3538.77,,2018-10-31 22:38:47,2018-10-31 22:38:47,0.033s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-31 22:38:47,2018-10-31 22:38:47,0.045s,PASSED
"Statement - println(""Admin added successfully"")",Chrome 70.0.3538.77,,2018-10-31 22:38:47,2018-10-31 22:38:47,0.003s,PASSED
,,,,,,
Test Cases/User/DeleteSupplier,Chrome 70.0.3538.77,,2018-10-31 22:38:47,2018-10-31 22:38:54,7.104s,PASSED
Statement - Try,Chrome 70.0.3538.77,,2018-10-31 22:38:48,2018-10-31 22:38:54,6.639s,PASSED
,,,,,,
Test Cases/User/DeleteAdmin,Chrome 70.0.3538.77,,2018-10-31 22:38:54,2018-10-31 22:39:10,15.784s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 22:38:55,2018-10-31 22:38:56,1.873s,PASSED
phpTravels.Common.Login,Chrome 70.0.3538.77,,2018-10-31 22:38:56,2018-10-31 22:38:57,0.974s,PASSED
phpTravels.Admin.NavigateToAdminPage,Chrome 70.0.3538.77,,2018-10-31 22:38:57,2018-10-31 22:39:03,5.426s,PASSED
phpTravels.Admin.DeleteAdmin,Chrome 70.0.3538.77,,2018-10-31 22:39:03,2018-10-31 22:39:10,7.325s,PASSED
,,,,,,
Test Cases/Common/LogOutNewAdmin,Chrome 70.0.3538.77,,2018-10-31 22:39:10,2018-10-31 22:39:12,1.910s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 22:39:10,2018-10-31 22:39:12,1.629s,PASSED
