Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateTourForNewAdmin,Firefox 62.0,,2018-10-27 23:08:52,2018-10-27 23:09:36,43.749s,FAILED
,,,,,,
Test Cases/Common/NavigateToUrl,Firefox 62.0,,2018-10-27 23:08:53,2018-10-27 23:09:15,21.258s,PASSED
openBrowser,Firefox 62.0,,2018-10-27 23:08:54,2018-10-27 23:09:04,9.966s,PASSED
openBrowser,Firefox 62.0,,2018-10-27 23:09:04,2018-10-27 23:09:12,7.867s,PASSED
navigateToUrl,Firefox 62.0,,2018-10-27 23:09:12,2018-10-27 23:09:15,2.838s,PASSED
,,,,,,
Test Cases/Common/LoginFromDatabase,Firefox 62.0,,2018-10-27 23:09:15,2018-10-27 23:09:19,3.841s,PASSED
Statement - dbdata = com.kms.katalon.core.testdata.TestDataFactory.findTestData(userDetail),Firefox 62.0,,2018-10-27 23:09:15,2018-10-27 23:09:16,1.013s,PASSED
"Statement - userName = dbdata.getValue(Email.ordinal(), userIndex)",Firefox 62.0,,2018-10-27 23:09:16,2018-10-27 23:09:16,0.098s,PASSED
"Statement - password = dbdata.getValue(Password.ordinal(), userIndex)",Firefox 62.0,,2018-10-27 23:09:16,2018-10-27 23:09:16,0.001s,PASSED
phpTravels.Common.Login,Firefox 62.0,,2018-10-27 23:09:16,2018-10-27 23:09:19,2.444s,PASSED
,,,,,,
Test Cases/Tour/BookTour,Firefox 62.0,,2018-10-27 23:09:19,2018-10-27 23:09:33,14.786s,FAILED
phpTravels.Tour.NavigateToTourPage,Firefox 62.0,,2018-10-27 23:09:19,2018-10-27 23:09:31,12.438s,PASSED
phpTravels.Tour.SetTourDetails,Firefox 62.0,,2018-10-27 23:09:31,2018-10-27 23:09:33,1.997s,FAILED
,,,,,,
Test Cases/Common/LogOut,Firefox 62.0,,2018-10-27 23:09:33,2018-10-27 23:09:35,1.856s,PASSED
click,Firefox 62.0,,2018-10-27 23:09:34,2018-10-27 23:09:35,1.604s,PASSED
