Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateAdminandLogin,,,2018-10-26 18:58:00,2018-10-26 18:58:05,4.894s,ERROR
,,,,,,
Test Cases/Common/LoginAsSuperAdmin,,,2018-10-26 18:58:01,2018-10-26 18:58:03,2.043s,ERROR
Statement - dbdata = com.kms.katalon.core.testdata.TestDataFactory.findTestData(adminDetails),,,2018-10-26 18:58:02,2018-10-26 18:58:03,0.968s,PASSED
"Statement - userName = dbdata.getValue(5, 2)",,,2018-10-26 18:58:03,2018-10-26 18:58:03,0.027s,PASSED
"Statement - password = dbdata.getValue(2, 2)",,,2018-10-26 18:58:03,2018-10-26 18:58:03,0.003s,PASSED
phpTravels.commonUtils.loginToPHPTravels,,,2018-10-26 18:58:03,2018-10-26 18:58:03,0.005s,ERROR
,,,,,,
Test Cases/CreateUser/CreateNewAdmin,,,2018-10-26 18:58:03,2018-10-26 18:58:03,0.492s,ERROR
phpTravels.PhpKeys.navigateToCreateAdminPage,,,2018-10-26 18:58:03,2018-10-26 18:58:03,0.005s,ERROR
,,,,,,
Test Cases/Common/LoginAsNewAdmin,,,2018-10-26 18:58:03,2018-10-26 18:58:04,0.937s,ERROR
Statement - dbdata = com.kms.katalon.core.testdata.TestDataFactory.findTestData(adminDetails),,,2018-10-26 18:58:04,2018-10-26 18:58:04,0.229s,PASSED
"Statement - userName = dbdata.getValue(5, 1)",,,2018-10-26 18:58:04,2018-10-26 18:58:04,0.001s,PASSED
"Statement - password = dbdata.getValue(2, 1)",,,2018-10-26 18:58:04,2018-10-26 18:58:04,0.022s,PASSED
phpTravels.commonUtils.loginToPHPTravels,,,2018-10-26 18:58:04,2018-10-26 18:58:04,0.005s,ERROR
,,,,,,
Test Cases/CreateTour/CreateATour,,,2018-10-26 18:58:04,2018-10-26 18:58:05,0.479s,ERROR
phpTravels.TourKeys.navigateToNewTour,,,2018-10-26 18:58:05,2018-10-26 18:58:05,0.006s,ERROR
