Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateTourForNewAdmin,Firefox 62.0,,2018-10-28 00:27:03,2018-10-28 00:27:47,44.059s,FAILED
,,,,,,
Test Cases/Common/NavigateToUrl,Firefox 62.0,,2018-10-28 00:27:04,2018-10-28 00:27:23,19.096s,PASSED
openBrowser,Firefox 62.0,,2018-10-28 00:27:04,2018-10-28 00:27:13,8.792s,PASSED
openBrowser,Firefox 62.0,,2018-10-28 00:27:13,2018-10-28 00:27:20,7.176s,PASSED
navigateToUrl,Firefox 62.0,,2018-10-28 00:27:20,2018-10-28 00:27:23,2.620s,PASSED
,,,,,,
Test Cases/Common/LoginFromDatabase,Firefox 62.0,,2018-10-28 00:27:23,2018-10-28 00:27:26,2.848s,PASSED
Statement - dbdata = com.kms.katalon.core.testdata.TestDataFactory.findTestData(userDetail),Firefox 62.0,,2018-10-28 00:27:23,2018-10-28 00:27:24,0.983s,PASSED
"Statement - userName = dbdata.getValue(Email.ordinal(), userIndex)",Firefox 62.0,,2018-10-28 00:27:24,2018-10-28 00:27:25,0.063s,PASSED
"Statement - password = dbdata.getValue(Password.ordinal(), userIndex)",Firefox 62.0,,2018-10-28 00:27:25,2018-10-28 00:27:25,0.001s,PASSED
phpTravels.Common.Login,Firefox 62.0,,2018-10-28 00:27:25,2018-10-28 00:27:26,1.400s,PASSED
,,,,,,
Test Cases/Tour/BookTour,Firefox 62.0,,2018-10-28 00:27:26,2018-10-28 00:27:46,20.085s,FAILED
phpTravels.Tour.NavigateToTourPage,Firefox 62.0,,2018-10-28 00:27:26,2018-10-28 00:27:37,10.305s,PASSED
phpTravels.Tour.SetTourDetails,Firefox 62.0,,2018-10-28 00:27:37,2018-10-28 00:27:46,9.491s,FAILED
,,,,,,
Test Cases/Common/LogOut,Firefox 62.0,,2018-10-28 00:27:46,2018-10-28 00:27:47,0.565s,FAILED
click,Firefox 62.0,,2018-10-28 00:27:46,2018-10-28 00:27:47,0.262s,FAILED
